INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:Starting generation: 18
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:Starting generation: 19
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:Starting generation: 20
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.681618
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.758124
INFO:root:partial fitness = 3.760664
INFO:root:partial fitness = 3.759565
INFO:root:Starting generation: 21
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.669521
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.759565
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.681618
INFO:root:Starting generation: 22
INFO:root:partial fitness = 3.667886
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
INFO:root:partial fitness = 3.668316
